Age,Equal_Width,Equal_Frequency
70.1602,Bin_3,Bin_3
76.7201,Bin_3,Bin_4
66.9733,Bin_3,Bin_2
61.5852,Bin_2,Bin_2
63.8713,Bin_3,Bin_2
85.1116,Bin_4,Bin_4
60.0383,Bin_2,Bin_1
69.8727,Bin_3,Bin_3
58.1656,Bin_2,Bin_1
66.8337,Bin_3,Bin_2
76.4216,Bin_3,Bin_4
69.674,Bin_3,Bin_3
79.8877,Bin_4,Bin_4
76.4846,Bin_3,Bin_4
76.7283,Bin_3,Bin_4
66.9158,Bin_3,Bin_2
91.7043,Bin_4,Bin_4
64.7584,Bin_3,Bin_2
83.4004,Bin_4,Bin_4
82.5791,Bin_4,Bin_4
54.694,Bin_2,Bin_1
78.9021,Bin_4,Bin_4
57.2402,Bin_2,Bin_1
68.1068,Bin_3,Bin_2
81.7084,Bin_4,Bin_4
74.7433,Bin_3,Bin_3
63.4689,Bin_3,Bin_2
79.102,Bin_4,Bin_4
55.9151,Bin_2,Bin_1
59.4141,Bin_2,Bin_1
63.1567,Bin_3,Bin_2
78.7488,Bin_4,Bin_4
71.9425,Bin_3,Bin_3
71.6578,Bin_3,Bin_3
85.7221,Bin_4,Bin_4
54.8556,Bin_2,Bin_1
69.1034,Bin_3,Bin_3
46.3409,Bin_1,Bin_1
56.8241,Bin_2,Bin_1
75.2088,Bin_3,Bin_3
70.2368,Bin_3,Bin_3
73.2868,Bin_3,Bin_3
53.0842,Bin_2,Bin_1
64.7283,Bin_3,Bin_2
50.1958,Bin_2,Bin_1
73.0897,Bin_3,Bin_3
58.1985,Bin_2,Bin_1
70.7433,Bin_3,Bin_3
45.7276,Bin_1,Bin_1
65.117,Bin_3,Bin_2
,,
45.0787,Bin_1,Bin_1
75.9233,Bin_3,Bin_4
53.2293,Bin_2,Bin_1
68.0931,Bin_3,Bin_2
48.3532,Bin_2,Bin_1
62.9185,Bin_3,Bin_2
64.8214,Bin_3,Bin_2
,,
65.7851,Bin_3,Bin_2
53.4593,Bin_2,Bin_1
80.9637,Bin_4,Bin_4
68.4736,Bin_3,Bin_2
71.6988,Bin_3,Bin_3
73.8658,Bin_3,Bin_3
53.0842,Bin_2,Bin_1
77.2567,Bin_4,Bin_4
78.6886,Bin_4,Bin_4
59.8549,Bin_2,Bin_1
68.4356,Bin_3,Bin_2
56.9391,Bin_2,Bin_1
