mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.053057527542114256,0.00040500911758629325,0.004221343994140625,2.9203930585463077e-05,gini,2,1,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8842844600526778,0.0056735713508001984,1
0.03366785049438477,0.024220929884322416,0.003726625442504883,0.0006321098692011366,gini,2,1,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8842844600526778,0.0056735713508001984,1
0.0029714107513427734,0.0005347345736424925,0.0026072025299072265,0.00043467792720715785,gini,2,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8842844600526778,0.0056735713508001984,1
0.0030095577239990234,0.0007553285568794589,0.002414369583129883,0.0004902147265718116,gini,2,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8842844600526778,0.0056735713508001984,1
0.0026108264923095704,0.00039798340379082443,0.0021190643310546875,0.0004978419257948059,gini,2,1,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8813432835820896,0.008840439114635843,5
0.0026999950408935548,0.00036906202928848345,0.0024232864379882812,0.000445045916802141,gini,2,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8805970149253731,0.8805970149253731,0.8813432835820896,0.008840439114635843,5
0.0038269519805908202,6.899977025439155e-05,0.0034462451934814454,0.00014633149623344716,entropy,2,1,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.0040706157684326175,0.0002811302077895334,0.0040457725524902345,0.0010141339834718603,entropy,2,1,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.0038829326629638674,0.0003041227022837889,0.003512144088745117,0.0005549589121413934,entropy,2,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.003818702697753906,0.00023872776963810178,0.003432559967041016,0.0002471108636983803,entropy,2,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.004461526870727539,0.0007980783787439464,0.0037494659423828124,0.0003887447971471476,entropy,2,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.0041007518768310545,0.00042097844440359386,0.003540658950805664,0.0003177455344743168,entropy,2,1,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.8812993854258121,0.0008602246682293793,7
0.003819561004638672,0.0006636865930305487,0.0033466339111328123,0.0003256292080468415,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8783143107989465,0.006369923493315923,13
0.0038501262664794923,0.0002191562254106519,0.0033266544342041016,0.00023051735538267575,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8783143107989465,0.006369923493315923,13
0.003370380401611328,0.0005273798620036427,0.0028249740600585936,0.0002215781465883013,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8783143107989465,0.006369923493315923,13
0.003297281265258789,0.0004861222205006381,0.002559471130371094,0.0007319015061297181,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8783143107989465,0.006369923493315923,13
0.003001832962036133,0.0005855379078511664,0.002311038970947266,0.00047506978565137095,gini,2,4,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8783143107989464,0.014791529193083538,17
0.0030455589294433594,0.00033832754003761866,0.0022632598876953123,0.0004778132795059678,gini,2,4,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8783143107989464,0.014791529193083538,17
0.0035655975341796877,0.0005315240384951508,0.0031038761138916016,0.0003466118971163363,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8753731343283583,0.007170868298589207,19
0.0038424968719482423,0.00014273852520557378,0.002932167053222656,0.00043536046240933075,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8753731343283583,0.007170868298589207,19
0.008541154861450195,0.004915610945183177,0.003983783721923828,0.000693439171242177,entropy,2,4,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8753731343283582,0.01515370458715809,21
0.0042377948760986325,0.0004672164646956538,0.006240367889404297,0.0030624623054525844,entropy,2,4,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8753731343283582,0.01515370458715809,21
0.003908109664916992,0.0005902853908189827,0.0029461860656738283,0.00029982872129666164,gini,2,4,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8753731343283582,0.01515370458715809,21
0.00608530044555664,0.0026031136379279503,0.00374751091003418,0.00017640141955609648,entropy,2,4,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8676470588235294,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8805970149253731,0.8753731343283582,0.01515370458715809,21
0.003658628463745117,0.0006625346214111827,0.0030203819274902343,0.0003411800223108182,gini,3,4,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8656716417910447,0.8753292361720808,0.015517858539270034,25
0.0048677921295166016,0.00081270857044362,0.003638601303100586,0.00021173302046904917,entropy,4,1,2,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8507462686567164,0.8753292361720808,0.01231654287392461,25
0.004699897766113281,0.001367271241628664,0.0043068408966064455,0.001355910916423958,entropy,4,1,5,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8823529411764706,0.8823529411764706,0.8805970149253731,0.8805970149253731,0.8507462686567164,0.8753292361720808,0.01231654287392461,25
0.004098367691040039,0.0002763954576770744,0.0032453060150146483,0.00024097070408782054,gini,3,4,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8823529411764706,0.8823529411764706,0.8955223880597015,0.8507462686567164,0.8656716417910447,0.8753292361720808,0.015517858539270034,25
